Feature,Importancia,Ranking_RF,En_KBest
ltv_mensual,0.8853,1,✅
ratio_gasto_ingreso,0.0475,2,✅
frecuencia_visita,0.0455,3,✅
ingresos_mensuales,0.0148,4,✅
es_visitante_frecuente,0.0066,5,✅
engagement_score,0.0001,6,✅
edad,0.0,7,✅
es_miami,0.0,8,✅
preferencia_encoded,0.0,9,✅
es_ciudad_top5,0.0,10,✅
es_masculino,0.0,11,✅
consume_licor_bin,0.0,12,✅
pref_mariscos,0.0,13,✅
es_adulto,0.0,14,✅
es_carnivoro,0.0,15,✅
pago_digital,0.0,16,✅
es_joven,0.0,17,✅
es_senior,0.0,18,❌
es_vegano,0.0,19,✅
es_vegetariano,0.0,20,✅
